,brand,store,sido,gungu,address,phone
0,palicana,가경동점,충청북도,청주시흥덕구,충청북도 청주시흥덕구 풍산로 103(복대동),043-233-4091
1,palicana,가남점,경기도,여주시,경기도 여주시 가남면 태평중앙1길 8-6,031-883-5746
2,palicana,가래비점,경기도,양주시,경기도 양주시 광적면 가래비길 24,031-855-6126
3,palicana,가수원점,대전광역시,서구,대전광역시 서구 벌곡로 1353번길 63,042-541-1350
4,palicana,가양동점,서울특별시,강서구,"서울특별시 강서구 양천로57길 10-11, 101-1호 (가양동, 이스타빌2차)",02-3663-3700
5,palicana,가오점,대전광역시,동구,대전광역시 동구 은어송로 77번길 17,
6,palicana,가운점,경기도,남양주시,경기도 남양주시 가운로2길 63 가운동삼원프라자 105호,031-557-9222
7,palicana,가장점,대전광역시,서구,대전광역시 서구 갈마로 298,042-532-1140
8,palicana,가정지구1점,인천광역시,서구,인천광역시 서구 봉오재2로 37 104호,032-567-5885
9,palicana,가좌3점,인천광역시,서구,인천광역시 서구 가석로156번길 23-1,032-575-8999
10,palicana,가평역전점,경기도,가평군,경기도 가평군 가평읍 가화로 54,031-582-5242
11,palicana,가평점,경기도,가평군,경기도 가평군 가평읍 가화로 125-1,031-582-4419
12,palicana,가흥점,경상북도,영주시,경상북도 영주시 창진로 59,054-634-2500
13,palicana,간성점,강원도,고성군,강원도 고성군 간성읍 간성로 45,033-681-3330
14,palicana,간현점,강원도,원주시,강원도 원주시 지정면 간현로 188,033-731-0887
15,palicana,갈곶원동점,경기도,오산시,경기도 오산시 오산로 68(갈곶동),
16,palicana,갈마점,대전광역시,서구,대전광역시 서구 갈마로 60(갈마동),042-531-9962
17,palicana,갈산점,인천광역시,부평구,인천광역시 부평구 굴포로 42,032-522-9292
18,palicana,갈산점(이천),경기도,이천시,"경기도 이천시 갈산로 81(갈산동, 102)",031-638-8320
19,palicana,갈산점(홍성),충청남도,홍성군,충청남도 홍성군 갈산면 갈산로 109-1,041-634-1881
20,palicana,감곡점,충청북도,음성군,충청북도 음성군 감곡면 장감로 142,043-881-3903
21,palicana,강경점,충청남도,논산시,충청남도 논산시 강경읍 계백로 126-1,041-745-1206
22,palicana,강구점,경상북도,영덕군,경상북도 영덕군 강구면 강구리 453,054-733-5544
23,palicana,강남구청점,서울특별시,강남구,서울특별시 강남구 삼성로119길 41. 1층(삼성동),02-515-3576
24,palicana,강남대점,경기도,용인시기흥구,경기도 용인시기흥구 강남동로114번 22(상하동),031-284-9292
25,palicana,강릉교동점,강원도,강릉시,강원도 강릉시  강릉대로 269 (교동),033-642-9800
26,palicana,강릉서부점,강원도,강릉시,강원도 강릉시  임영로 170-3(임당동),033-641-1930
27,palicana,강릉옥계점,강원도,강릉시,강원도 강릉시  옥계면 현내시장길 59,033-534-2587
28,palicana,강릉옥천동점,강원도,강릉시,강원도 강릉시  경강로 2166 1층(옥천동),033-642-1532
29,palicana,강릉유천점,강원도,강릉시,강원도 강릉시  선수촌로63번길 5 우미린상가106,033-641-8494
30,palicana,강릉택지점,강원도,강릉시,강원도 강릉시  율곡초교길39번 23(교동),033-645-6288
31,palicana,강북점,대구광역시,북구,대구광역시 북구 읍내동 대천로9길 11-5,053-322-5090
32,palicana,강상점,경기도,양평군,"경기도 양평군 강상면 강남로 922, 107호",031-775-8259
33,palicana,강서점,충청북도,청주시흥덕구,충청북도 청주시흥덕구 가로수로1154 5-21(강서동),043-232-5254
34,palicana,강선점,경기도,고양시일산서구,경기도 고양시일산서구 강선로 67번지 유원상가 103호,031-912-5558
35,palicana,강진점,전라남도,강진군,전라남도 강진군 강진읍 탐진로 76-1,061-433-8292
