,brand,store,sido,gungu,address,phone
0,cheogajip,망우점,서울특별시,중랑구,서울특별시 중랑구 용마산로109길 24,02-494-7878
1,cheogajip,용강점,경상북도,경주시,경상북도 경주시 승삼3길 18-1,054-777-4262
2,cheogajip,인천청천점,인천광역시,부평구,인천광역시 부평구 평천로 115번길 12,032-512-8882
3,cheogajip,조암점,경기도,화성시,경기도 화성시 우정읍 조암북로 67번길 6-12,031-351-8986
4,cheogajip,구서점,부산광역시,금정구,"부산광역시 금정구 금샘로 262, 216동 104호(구서동, 쌍용예가 2단지)",051-516-7773
5,cheogajip,연산토곡점,부산광역시,연제구,"부산광역시 연제구 과정로 294, 1층(연산동)",051-853-1988
6,cheogajip,야당점,경기,파주시,"경기 파주시 경의로1004번길 37 , 롯데프라자 102호",031-941-9288
7,cheogajip,침산점,대구시,북구,대구시 북구 침산동 456-7,053-356-9909
8,cheogajip,각산점,대구시,동구,대구시 동구 과학로2길 14,053-964-9280
9,cheogajip,대봉점,대구시,중구,대구시 중구 달구벌대로 446길 28,053-428-5010
10,cheogajip,국가산단점,대구시,달성군,대구시 달성군 구지면 국가산단대로 66길 29,053-615-2234
11,cheogajip,가음점,경남,창원시,경남 창원시 성산구 대정로40번길 7,055-262-7822
12,cheogajip,유니시티점,경남,창원시,경남 창원시 의창구 평산로211번길 18,055-255-9981
13,cheogajip,통영1점,경남,통영시,경남 통영시 광도면 죽림2로 76-95,055-649-9233
14,cheogajip,동천점,경남,남해군,경남 남해군 삼동면 동부대로 1235,055-867-7273
15,cheogajip,대원점,경남,창원시,경남 창원시 성산구 창원대로 548,055-237-8999
16,cheogajip,안동삼안점,경상남도,김해시,경상남도 김해시 삼안로 131번길 8-4,055-337-7439
17,cheogajip,문산점,경남,진주시,경남 진주시 문산읍 소문길 51,055-758-4868
18,cheogajip,용상점,경북,안동시,경북 안동시 전거리7길 83,054-823-9279
19,cheogajip,광석동점,경북,안동시,경북 안동시 대석2길 3,054-854-8288
