,brand,store,sido,gungu,address,phone
0,goobne,흥덕지구점,경기도,용인시,"경기도 용인시 기흥구  흥덕1로 79번길 9, 105호",031-212-9293
1,goobne,후곡점,경기도,고양시,경기도 고양시 일산서구  일산로 576,031-913-9289
2,goobne,효자중화산2호점,전라북도,전주시,"전라북도 전주시 완산구  용머리로 101 상가2동 지1층 201호, 202호",063-223-9492
3,goobne,효자중화산1호점,전라북도,전주시완산구,전라북도 전주시완산구  효동3길 24  1층 (효자동1가),063-232-8294
4,goobne,효성2동점,인천광역시,계양구,인천광역시 계양구 마장로 549 1층 107호 (효성동),032-547-8294
5,goobne,회덕점,경기도,광주시,경기도 광주시  이배재로 108,031-797-9293
6,goobne,황상인의점,경상북도,구미시,경상북도 구미시  여현로 80,054-473-9482
7,goobne,화천점,강원도,화천군,강원도 화천군 화천읍 중앙로 37번지,033-442-9994
8,goobne,화정1동점,경기도,고양시,경기도 고양시 덕양구  은빛로29번길 15-4,031-967-9592
9,goobne,화양점,서울특별시,광진구,"서울특별시 광진구   능동로19길 53, 1층",02-461-9993
10,goobne,화성마도점,경기도,화성시,경기도 화성시 마도면 두곡서길 35 1층,031-356-5708
11,goobne,화성남양점,경기도,화성시,"경기도 화성시 남양읍 역골동로 20-10,1층",031-356-9207
12,goobne,화서1동점,경기도,수원시,경기도 수원시 팔달구 화서동 219-1번지 101호,031-248-6999
13,goobne,화북삼양점,제주도,제주시,제주도 제주시  진동로1길 13,064-759-9282
14,goobne,화곡본동점,서울특별시,강서구,서울특별시 강서구 화곡동 29-27,02-2601-8292
15,goobne,화곡4동점,서울특별시,강서구,서울특별시 강서구 화곡4동 827-8번지,02-2643-9294
16,goobne,화곡1동점,서울특별시,강서구,서울특별시 강서구  곰달래로 19길 46 1층,02-2694-9294
17,goobne,홍천점,강원도,홍천군,강원도 홍천군 홍천읍 연봉리 502-5번지,033-436-9292
18,goobne,홍제2호점,서울특별시,서대문구,"서울특별시 서대문구  문화촌길 34, 아동 지층 1호",02-720-9492
19,goobne,홍제1호점,서울특별시,서대문구,서울특별시 서대문구 홍제동 155-6번지,02-732-9595
20,goobne,홍은2동점,서울특별시,서대문구,"서울특별시 서대문구  백련사길 6, 1층(홍은동)",02-395-9293
21,goobne,홍성읍점,충청남도,홍성군,충청남도 홍성군 홍성읍 문화로 33번길 10,041-631-9255
22,goobne,홍농읍점,전라남도,영광군,"전라남도 영광군 홍농읍 상하길 33, 102호",061-356-9004
23,goobne,호평점,경기도,남양주시,"경기도 남양주시 호평로69번길 3-1,1층 (호평동)",031-592-9392
24,goobne,호원1호점,경기도,의정부시,"경기도 의정부시 호원동 419 상가동 1층 104,105호(현대아파트)",031-875-0006
25,goobne,호수동점,경기도,안산시,"경기도 안산시 단원구  광덕2로 194-8,108호",031-410-9475
26,goobne,호매실점,경기도,수원시,"경기도 수원시 권선구  서수원로523번길 30-35, 101호",031-292-8294
27,goobne,호계점,경기도,,"경기도  안양시 동안구  엘에스로 45, 1층 117호(호계동, 대영골든타워)",031-452-9292
28,goobne,현풍점,대구광역시,달성군,대구광역시 달성군 현풍면 현풍중앙로14길 85,053-617-9492
29,goobne,헬리오시티점,서울특별시,송파구,"서울특별시 송파구  송파대로37길 88, 2층(석촌동)",02-422-9294
30,goobne,향동점,경기도,고양시,"경기도 고양시 덕양구  꽃내음2길 50-7 , 1층 일부호 (향동동)",02-3159-9494
31,goobne,향남지구점,경기도,화성시,"경기도 화성시 향남읍 행정서로3길 4-16, 102호",031-359-9282
32,goobne,향남2지구점,경기도,화성시,"경기도 화성시 향남읍 상신하길로298번길 7-27, 111호",031-352-4837
33,goobne,행신2호점,경기도,고양시,"경기도 고양시 덕양구  중앙로 478, 109호",031-972-9294
34,goobne,행당점,서울특별시,성동구,서울특별시 성동구  행당로 79,02-2294-9294
