,brand,store,sido,gungu,address,phone
0,nene,강원홍천군홍천점,강원,홍천군,강원 홍천군 홍천읍 갈마로4,033-435-7983
1,nene,강원양구군방산점,강원,양구군,강원 양구군 방산면 장거리길18,033-481-8892
2,nene,강원춘천시퇴계점,강원,춘천시,강원 춘천시 춘주로187번길20-4,033-242-8119
3,nene,강원홍천군시동점,강원,홍천군,강원 홍천군 남면 시동안로321번길34-2,033-432-9288
4,nene,강원인제군신남점,강원,인제군,강원 인제군 남면 신남로23,033-461-0049
5,nene,강원춘천시교동후평점,강원,춘천시,강원 춘천시 성심로23-1,033-244-8892
6,nene,강원화천군산양리점,강원,화천군,강원 화천군 상서면 영서로7740-4,033-442-4484
7,nene,강원양구군동면점,강원,양구군,강원 양구군 동면 금강산로1681,033-482-2292
8,nene,강원영월군영월점,강원,영월군,강원 영월군 영월읍 은행나무길58,033-375-9696
9,nene,강원강릉시초당점,강원,강릉시,강원 강릉시 초당원길19,033-653-9298
10,nene,강원원주시단계점,강원,원주시,강원 원주시 원문로146,033-748-0213
11,nene,강원원주시명륜점,강원,원주시,강원 원주시 남산로30,033-761-9288
12,nene,강원태백시태백점,강원,태백시,강원 태백시 황지로238,033-554-4494
13,nene,강원원주시단관점,강원,원주시,강원 원주시 단관초교길7,033-748-9494
14,nene,강원속초시교동점,강원,속초시,강원 속초시 동해대로4270,033-633-4425
15,nene,강원속초시조양점,강원,속초시,강원 속초시 동해대로3996,033-637-4466
16,nene,강원원주시문막점,강원,원주시,강원 원주시 문막읍 건등로40-3,033-734-4482
17,nene,강원동해시부곡점,강원,동해시,강원 동해시 발한로96,033-534-9993
18,nene,강원양양군양양점,강원,양양군,강원 양양군 양양읍 양양로83-1,033-673-4492
19,nene,강원양양군하조대점,강원,양양군,강원 양양군 현북면 조준길6,033-672-1658
20,nene,강원원주시오크밸리점,강원도,원주시,강원도 원주시 지정면 오크밸리1길1길701층,033-730-3737
21,nene,강원철원군지경리점,강원,철원군,강원 철원군 갈말읍 청양로81-1,033-458-3505
22,nene,강원인제군서화점(B),강원,인제군,강원 인제군 서화면 천도로126번길6,033-462-4479
23,nene,강원화천군다목리점,강원,화천군,강원 화천군 상서면 수피령로1306,033-441-9288
24,nene,강원동해시망상점,강원,동해시,강원 동해시 동해대로6270-31,033-534-3377
25,nene,강원철원군자등리점,강원,철원군,강원 철원군 서면 자등로578,033-458-9233
26,nene,강원홍천군대명비발디점,강원,홍천군,강원 홍천군 서면 한치골길48,033-435-4479
27,nene,강원화천군화천점,강원,화천군,강원 화천군 화천읍 중앙5,033-441-9233
28,nene,강원강릉시내곡점,강원,강릉시,강원 강릉시 범일로579번길49-2,033-643-9954
29,nene,강원원주시무실점,강원,원주시,강원 원주시 섬밭들길2길16-2,033-746-4479
30,nene,강원동해시효가점,강원,동해시,강원 동해시 동해대로5033,033-521-2676
31,nene,강원태백시장성점,강원,태백시,강원 태백시 장성로43-2,033-581-5677
32,nene,강원평창군대관령점,강원,평창군,강원 평창군 대관령면 경강로 5166,033-335-9599
