,행사명,장소,행사내용,행사 시작일자,행사 종료일자,행사 시작시각,행사 종료시각,위도,경도
0,가족뮤지컬<술루우수우>(1)금요일,광주광역시 동구 국립아시아문화전당 예술극장 극장2,뮤지컬,2021-07-23,2021-07-25,19:00:00,20:20:00,35.14691559,126.9199945
1,가족뮤지컬<술루우수우>(2)토요일/일요일,광주광역시 동구 국립아시아문화전당 예술극장 극장2,뮤지컬,2021-07-23,2021-07-25,15:00:00,16:20:00,35.14691559,126.9199945
2,아시아 건축 이야기,광주광역시 동구 국립아시아문화전당 어린이창작실험실,어린이를위한 아시아 건축물 수업,2021-05-08,2021-09-25,10:30:00,12:00:00,35.14691559,126.9199945
3,유아놀이터,광주광역시 동구국립아시아문화전당 어린이문화원,시아와 친구들의 무지개나라 탐험,2021-01-02,2021-12-31,10:00:00,18:00:00,35.14691559,126.9199945
4,먼 나라 이웃 친구 켄제굴,광주광역시 동구 국립아시아문화전당 어린이창작실험실,그림자 극장 프로그램,2021-05-15,2021-07-31,11:00:00,12:00:00,35.14691559,126.9199945
5,지정 Self-Designation(1)금요일,광주광역시 동구 국립아시아문화전당 예술극장 극장1,한국 연극 연출가 박정희의 창작극,2021-09-03,2021-09-05,19:30:00,21:10:00,35.14691559,126.9199945
6,지정 Self-Designation(2)토요일/일요일,광주광역시 동구 국립아시아문화전당 예술극장 극장1,한국 연극 연출가 박정희의 창작극,2021-09-03,2021-09-05,15:00:00,16:40:00,35.14691559,126.9199945
7,ACC라이브러리파크 특별프로그램  별난책방 (오전),광주광역시 동구 국립아시아문화전당 문화정보원,라이브러리파크 제작,2021-08-03,2021-08-20,10:00:00,12:00:00,35.14691559,126.9199945
8,ACC라이브러리파크 특별프로그램  별난책방 (오후),광주광역시 동구 국립아시아문화전당 문화정보원,라이브러리파크 제작,2021-08-03,2021-08-20,14:00:00,16:00:00,35.14691559,126.9199945
9,ACC특별투어- 8월 하늘마당 존 투어(1차),광주광역시 동구 국립아시아 문화전당 하늘마당존,국립아시아문화전당 문화 체험 프로그램,2021-08-07,2021-08-28,14:30:00,15:40:00,35.14691559,126.9199945
10,ACC특별투어- 8월 하늘마당 존 투어(2차),광주광역시 동구 국립아시아 문화전당 하늘마당존,국립아시아문화전당 문화 체험 프로그램,2021-08-07,2021-08-28,16:30:00,17:40:00,35.14691559,126.9199945
11,악기의재발견,광주광역시 동구 국립아시아문화전당 어린이창작실험실,악기체험 프로그램,2021-07-03,2021-08-28,14:00:00,16:00:00,35.14691559,126.9199945
12,ACC월드뮤직페스티벌 워크숍 워크숍1 크리에이터 세션,광주광역시 동구 국립아시아문화전당 예술극장 아틀리에1(B3),월드뮤직페스티벌 워크숍,2021-08-20,2021-08-20,13:30:00,15:00:00,35.14691559,126.9199945
13,ACC월드뮤직페스티벌 워크숍 워크숍2 아티스트 세션,광주광역시 동구 국립아시아문화전당 예술극장 아틀리에1(B3),월드뮤직페스티벌 워크숍,2021-08-21,2021-08-21,14:00:00,15:30:00,35.14691559,126.9199945
14,[ACC 브런치콘서트] 앰비규어댄스컴퍼니  바디콘서트 ,광주광역시 동구 국립아시아문화전당 예술극장 극장2,브런치댄스콘서트,2021-07-28,2021-07-28,11:00:00,12:30:00,35.14691559,126.9199945
15,[ACC 브런치콘서트] 배우 홍지민의 뮤지컬 토크 콘서트  행복 ,광주광역시 동구 국립아시아문화전당 예술극장 극장2,브런치토크콘서트,2021-08-25,2021-08-25,11:00:00,12:30:00,35.14691559,126.9199945
